date,weight_kg
2022-01-03,98.599
2022-01-04,97.16
2022-01-05,97.129
2022-01-06,97.279
2022-01-07,95.699
2022-01-09,96.849
2022-01-10,96.599
2022-01-11,95.849
2022-01-12,96.65
2022-01-13,95.809
2022-01-14,96.26
2022-01-15,97.48
2022-01-17,96.739
2022-01-18,96.98
2022-01-19,96.75
2022-01-20,96.16
2022-01-21,95.91
2022-01-22,95.41
2022-01-23,98.139
2022-01-24,97.449
2022-01-25,95.949
2022-01-26,95.15
2022-01-27,94.94
2022-01-28,95.8
2022-01-29,96.639
2022-01-30,96.05
2022-01-31,96.8
2022-02-01,96.709
2022-02-02,95.239
2022-02-03,94.29
2022-02-04,94.529
2022-02-05,96.26
2022-02-06,95.809
2022-02-07,96.15
2022-02-08,95.29
2022-02-09,95.43
2022-02-10,94.36
2022-02-11,94.809
2022-02-12,96.589
2022-02-13,95.239
2022-02-14,96.089
2022-02-15,95.69
2022-02-16,96.129
2022-02-17,96.139
2022-02-18,95.73
2022-02-19,96.41
2022-02-20,95.529
2022-02-21,96.459
2022-02-22,96.279
2022-02-23,95.11
2022-02-24,93.589
2022-02-25,93.98
2022-02-26,95.19
2022-02-27,95.25
2022-02-28,95.43
2022-03-01,94.779
2022-03-02,94.779
2022-03-03,95.129
2022-03-04,94.449
2022-03-05,95.48
2022-03-06,95.529
2022-03-07,95.16
2022-03-08,95.9
2022-03-09,96.349
2022-03-10,95.379
2022-03-11,95.69
2022-03-12,95.599
2022-03-13,95.86
2022-03-14,96.589
2022-03-20,95.459
2022-03-22,95.889
2022-03-23,95.68
2022-03-24,96.5
2022-03-25,96.08
2022-03-26,96.98
2022-03-27,96.239
2022-03-28,96.68
2022-03-29,95.91
2022-03-30,95.48
2022-03-31,96
2022-04-01,94.43
2022-04-02,96.139
2022-04-03,96.699
2022-04-04,95.779
2022-04-05,95.309
2022-04-06,94.68
2022-04-07,95.699
2022-04-08,95.809
2022-04-10,96.43
2022-04-11,96.139
2022-04-12,95.059
2022-04-13,94.83
2022-04-14,94.639
2022-04-15,94.76
2022-04-18,95.79
2022-04-19,94.959
2022-04-20,94.239
2022-04-21,94.639
2022-04-22,95.389
2022-04-24,96.16
2022-04-25,96.54
2022-04-26,95.699
2022-04-27,94.599
2022-04-28,95.699
2022-04-29,95.839
2022-04-30,96.29
2022-05-01,95.629
2022-05-02,96.309
2022-05-03,95.55
2022-05-04,95.099
2022-05-05,95.26
2022-05-06,94.489
2022-05-07,95.98
2022-05-11,95.279
2022-05-12,95.73
2022-05-15,95.209
2022-05-16,95.129
2022-05-17,95.48
2022-05-18,96.19
2022-05-28,96.01
2022-06-05,97.23
2022-06-06,95.879
2022-06-07,95.08
2022-06-08,94.68
2022-06-09,94.19
2022-06-10,94.339
2022-06-11,94.739
2022-06-12,93.949
2022-06-13,95.19
2022-06-14,94.76
2022-06-15,93.4
2022-06-16,92.9
2022-06-17,94.529
2022-06-20,95.309
2022-06-21,94.599
2022-06-22,94.349
2022-06-23,94.129
2022-06-24,94.4
2022-06-25,95.139
2022-06-27,95.18
2022-06-28,93.58
2022-06-29,93.33
2022-06-30,93.15
2022-07-01,93.65
2022-07-02,95.099
2022-07-03,95.349
2022-07-04,95.199
2022-07-05,94.389
2022-07-06,94.73
2022-07-07,94.209
2022-07-08,93.089
2022-07-09,95.199
2022-07-11,95.029
2022-07-12,93.989
2022-07-13,93.629
2022-07-14,94.529
2022-07-15,94.04
2022-07-16,94.889
2022-07-17,95.18
2022-07-18,95.489
2022-07-19,94.48
2022-07-20,94.48
2022-07-24,94.589
2022-07-26,95.599
2022-07-27,95.389
2022-07-28,94.629
2022-08-01,96.01
2022-08-02,95.33
2022-08-03,94.239
2022-08-04,95.449
2022-08-05,95.43
2022-08-09,94.9
2022-08-12,95.559
2022-08-15,95.16
2022-08-17,95.23
2022-08-21,95.709
2022-08-23,95.55
2022-08-24,95.68
2022-08-26,96.849
2022-09-06,96.339
2022-09-07,95.18
2022-09-08,95.01
2022-09-09,95.11
2022-09-10,96.16
2022-09-11,97.309
2022-09-13,95.779
2022-09-14,94.699
2022-09-15,95.29
2022-09-16,95.16
2022-09-17,97.339
2022-09-18,96.75
2022-09-19,95.73
2022-09-20,95.389
2022-09-21,94.9
2022-09-22,95.41
